Altium Designer Pick and Place Locations
C:\Work\6MS\Hardware\Master Board\ProjectOutputs\PCB Fab\Pick Place\Pick Place for Local Master(Three Resistor).txt

========================================================================================================================
File Design Information:

Date:       11-01-21
Time:       17:26
Revision:   aa3b334c2c4bd404bbbe23983af0b36f8c92ec99
Variant:    Three Resistor
Units used: mm

Designator Comment                                    Layer    Footprint       Center-X(mm) Center-Y(mm) Rotation Description                                
R14        "Res 31.6K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  123.4000     140.6000     180      "Res 31.6K 1/10W 1% 0603"                  
C4         "Cap Ceramic 10n 50V X7R 0603"             TopLayer CAPC1608N-0603  125.8000     130.7000     90       "Cap Ceramic 10n 50V X7R 0603"             
U12        "IC Mem EEPROM 16Kb (2K x 8) I2C SOT-23-5" TopLayer SOT23-5N        122.7000     123.1000     90       "IC Mem EEPROM 16Kb (2K x 8) I2C SOT-23-5" 
U11        "IC Reg Buck 4.7-60V 50mA 8-MSOP"          TopLayer MSOP65P3.0-8N   128.8000     131.0000     90       "IC Reg Buck 4.7-60V 50mA 8-MSOP"          
R114       "Res 499K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  128.8000     124.0000     360      "Res 499K 1/10W 1% 0603"                   
R113       "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  126.9000     140.6000     180      "Res 10.0K 1/10W 1% 0603"                  
R112       "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  129.3000     138.9000     180      "Res 10.0K 1/10W 1% 0603"                  
R110       "Res 120R 1/10W 1% 0603"                   TopLayer RESC1608N-0603  125.9000     125.7000     90       "Res 120R 1/10W 1% 0603"                   
L2         "Ind 1mH 90mA SDR0403-102KL"               TopLayer SDR0403         124.4000     135.8000     180      "Ind 1mH 90mA SDR0403-102KL"               
C36        "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  122.8000     126.3000     180      "Cap Ceramic 0.1u 25V X7R 0603"            
C35        "Cap Ceramic 0.1u 25V X7R 0603"            TopLayer CAPC1608N-0603  129.3000     137.2000     180      "Cap Ceramic 0.1u 25V X7R 0603"            
C34        "Cap Ceramic 100pF 50V C0G 0402"           TopLayer CAPC1608N-0603  129.3000     135.5000     360      "Cap Ceramic 100pF 50V C0G 0402"           
C33        "Cap Ceramic 1u 50V X5R 0603"              TopLayer CAPC1608N-0603  128.8000     126.6000     360      "Cap Ceramic 1u 50V X5R 0603"              
C32        "Cap Ceramic 10u 6.3V X5R 0603"            TopLayer CAPC1608N-0603  122.8000     130.6000     270      "Cap Ceramic 10u 6.3V X5R 0603"            
R94        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  113.8000     130.8000     90       "Res 10.0K 1/10W 1% 0603"                  
R109       "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  115.5000     130.2000     270      "Res 10.0K 1/10W 1% 0603"                  
J7         "Conn Header 1.5mm Vert 2-Pos ZH"          TopLayer B2B-ZR          76.8500      113.5000     360      "Conn Header 1.5mm Vert 2-Pos ZH"          
C30        "Cap Ceramic 1u 25V X5R 0603"              TopLayer CAPC1608N-0603  113.8000     127.6000     90       "Cap Ceramic 1u 25V X5R 0603"              
D9         "LED Green 160° 0603"                      TopLayer CAPC1608N-0603  94.3000      127.8000     0        "LED Green 160° 0603"                      
U10        "IC Voltage Ref 2.048V 0.3% uPwr SOT-23"   TopLayer SOT23-3N        117.2000     125.2000     360      "IC Voltage Ref 2.048V 0.3% uPwr SOT-23"   
U9         "IC Micro DSPIC33EP32GP504-I/PT 44-TQFP"   TopLayer TQFP44-0.8      109.3000     119.0000     90       "IC Micro DSPIC33EP32GP504-I/PT 44-TQFP"   
U7         MCP3425A0T-E/CH                            TopLayer SOT23-6N        85.0000      129.9000     90       "IC ADC I2C 16-Bit 15SPS SOT23-6"          
U6         "IC ESD Protector CAN SOT23"               TopLayer SOT23-3N        84.1000      107.0000     270      "IC ESD Protector CAN SOT23"               
U5         "IC Driver CAN 8-SOIC"                     TopLayer SMD-8           91.6000      112.2000     270      "IC Driver CAN 8-SOIC"                     
R108       "Res 120R 1/10W 1% 0603"                   TopLayer RESC1608N-0603  97.4000      129.3000     180      "Res 120R 1/10W 1% 0603"                   
R107       "Res 120R 1/10W 1% 0603"                   TopLayer RESC1608N-0603  97.4000      127.8000     180      "Res 120R 1/10W 1% 0603"                   
R106       "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  90.9000      128.3000     270      "Res 100K 1/10W 1% 0603"                   
R105       "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  94.6000      125.3000     180      "Res 100K 1/10W 1% 0603"                   
R104       "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  94.6000      123.8000     180      "Res 10.0K 1/10W 1% 0603"                  
R103       "Res 100R 1/10W 1% 0603"                   TopLayer RESC1608N-0603  80.7000      120.9000     180      "Res 100R 1/10W 1% 0603"                   
R102       "Res 66.5K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  88.3000      128.3000     180      "Res 66.5K 1/10W 1% 0603"                  
R101       "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  89.1000      118.9000     180      "Res 100K 1/10W 1% 0603"                   
R100       "Res 100K 1/10W 1% 0603"                   TopLayer RESC1608N-0603  94.6000      122.0000     180      "Res 100K 1/10W 1% 0603"                   
R99        "Res 10.0K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  94.6000      120.5000     180      "Res 10.0K 1/10W 1% 0603"                  
R98        "Res 100R 1/10W 1% 0603"                   TopLayer RESC1608N-0603  79.9000      123.3000     270      "Res 100R 1/10W 1% 0603"                   
R97        "Res 66.5K 1/10W 1% 0603"                  TopLayer RESC1608N-0603  85.9000      118.9000     180      "Res 66.5K 1/10W 1% 0603"                  
